"","player.name","type.name","location.x","location.y","cluster"
"26781","Jorge Resurrección Merodio","Pass",74,53,1
"26782","Francisco Román Alarcón Suárez","Pass",87,13,3
"26783","Francisco Román Alarcón Suárez","Pass",91,12,3
"26784","Diego da Silva Costa","Pass",99,18,5
"26785","Artem Dzyuba","Dribble",43,74,4
"26786","Artem Dzyuba","Pass",44,15,4
"26787","Roman Zobnin","Pass",41,21,2
"26788","Aleksandr Samedov","Pass",68,78,2
"26789","Daler Kuzyaev","Pass",54,51,2
"26790","Aleksandr Samedov","Pass",119,79,2
"26791","Sergio Busquets i Burgos","Pass",30,35,1
"26792","Jorge Resurrección Merodio","Pass",43,26,1
"26793","Marco Asensio Willemsen","Pass",62,28,3
"26794","Francisco Román Alarcón Suárez","Pass",71,4,3
"26795","Jorge Resurrección Merodio","Pass",72,32,1
"26796","Francisco Román Alarcón Suárez","Pass",93,3,3
"26797","Diego da Silva Costa","Pass",119,16,5
"26798","Francisco Román Alarcón Suárez","Pass",117,31,3
"26799","Francisco Román Alarcón Suárez","Pass",119,2,3
"26800","Jorge Resurrección Merodio","Pass",54,26,1
"26801","Francisco Román Alarcón Suárez","Pass",72,17,3
"26802","Diego da Silva Costa","Pass",92,10,5
"26803","Francisco Román Alarcón Suárez","Pass",87,17,3
"26804","Jorge Resurrección Merodio","Pass",75,46,1
"26805","Marco Asensio Willemsen","Pass",82,69,3
"26806","Jorge Resurrección Merodio","Pass",79,47,1
"26807","Francisco Román Alarcón Suárez","Pass",88,14,3
"26808","Jorge Resurrección Merodio","Pass",65,59,1
"26809","Francisco Román Alarcón Suárez","Pass",83,8,3
"26810","Francisco Román Alarcón Suárez","Pass",93,10,3
"26811","David Josué Jiménez Silva","Shot",111,46,2
"26812","Sergio Busquets i Burgos","Pass",22,16,1
"26813","Jorge Resurrección Merodio","Pass",24,28,1
"26814","Jorge Resurrección Merodio","Pass",54,51,1
"26815","Marco Asensio Willemsen","Pass",64,76,3
"26816","Jorge Resurrección Merodio","Pass",67,53,1
"26817","Jorge Resurrección Merodio","Pass",67,36,1
"26818","Marco Asensio Willemsen","Pass",74,77,3
"26819","Francisco Román Alarcón Suárez","Pass",76,11,3
"26820","Jorge Resurrección Merodio","Pass",67,56,1
"26821","Francisco Román Alarcón Suárez","Pass",92,14,3
"26822","Aleksandr Golovin","Pass",34,69,2
"26823","Artem Dzyuba","Pass",52,71,4
"26824","Artem Dzyuba","Pass",106,27,4
"26825","Francisco Román Alarcón Suárez","Pass",59,28,3
"26826","Diego da Silva Costa","Pass",61,73,5
"26827","Marco Asensio Willemsen","Pass",59,78,3
"26828","Jorge Resurrección Merodio","Pass",58,67,1
"26829","Fyodor Smolov","Pass",62,23,3
"26830","Aleksandr Golovin","Pass",64,56,2
"26831","Roman Zobnin","Pass",98,78,2
"26832","Aleksandr Golovin","Dribble",108,62,2
"26833","Aleksandr Golovin","Dribble",111,60,2
"26834","Aleksandr Golovin","Pass",72,54,2
"26835","Roman Zobnin","Pass",81,68,2
"26836","Roman Zobnin","Pass",49,75,2
"26837","Jorge Resurrección Merodio","Pass",40,28,1
"26838","Sergio Busquets i Burgos","Pass",54,27,1
"26839","Francisco Román Alarcón Suárez","Pass",66,23,3
"26840","Sergio Busquets i Burgos","Pass",57,22,1
"26841","Andrés Iniesta Luján","Pass",57,33,2
"26842","Jorge Resurrección Merodio","Pass",65,52,1
"26843","Andrés Iniesta Luján","Pass",75,22,2
"26844","Francisco Román Alarcón Suárez","Pass",80,56,3
"26845","Jorge Resurrección Merodio","Pass",76,56,1
"26846","Francisco Román Alarcón Suárez","Pass",80,51,3
"26847","Jorge Resurrección Merodio","Pass",73,57,1
"26848","Francisco Román Alarcón Suárez","Pass",77,41,3
"26849","Jorge Resurrección Merodio","Pass",81,55,1
"26850","Andrés Iniesta Luján","Pass",80,14,2
"26851","Jorge Resurrección Merodio","Pass",82,61,1
"26852","Francisco Román Alarcón Suárez","Pass",91,70,3
"26853","Jorge Resurrección Merodio","Pass",79,57,1
"26854","Andrés Iniesta Luján","Pass",89,21,2
"26855","Andrés Iniesta Luján","Pass",80,14,2
"26856","Fyodor Smolov","Pass",45,77,3
"26857","Jorge Resurrección Merodio","Pass",49,47,1
"26858","Marco Asensio Willemsen","Pass",69,70,3
"26859","Jorge Resurrección Merodio","Pass",64,54,1
"26860","Andrés Iniesta Luján","Pass",72,19,2
"26861","Aleksandr Golovin","Pass",37,66,2
"26862","Roman Zobnin","Pass",13,71,2
"26863","Jorge Resurrección Merodio","Pass",66,38,1
"26864","Francisco Román Alarcón Suárez","Pass",86,3,3
"26865","Francisco Román Alarcón Suárez","Pass",82,12,3
"26866","Jorge Resurrección Merodio","Pass",72,58,1
"26867","Roman Zobnin","Pass",49,28,2
"26868","Andrés Iniesta Luján","Pass",63,23,2
"26869","Francisco Román Alarcón Suárez","Pass",86,6,3
"26870","Andrés Iniesta Luján","Pass",75,27,2
"26871","Jorge Resurrección Merodio","Pass",76,54,1
"26872","Aleksandr Golovin","Pass",49,75,2
"26873","Francisco Román Alarcón Suárez","Pass",65,4,3
"26874","Francisco Román Alarcón Suárez","Pass",71,19,3
"26875","Marco Asensio Willemsen","Pass",119,2,3
"26876","Francisco Román Alarcón Suárez","Pass",64,8,3
"26877","Marco Asensio Willemsen","Pass",78,4,3
"26878","Francisco Román Alarcón Suárez","Pass",68,8,3
"26879","Jorge Resurrección Merodio","Pass",65,40,1
"26880","Marco Asensio Willemsen","Pass",87,4,3
"26881","Francisco Román Alarcón Suárez","Pass",86,8,3
"26882","Marco Asensio Willemsen","Pass",84,11,3
"26883","Francisco Román Alarcón Suárez","Pass",89,6,3
"26884","Marco Asensio Willemsen","Pass",82,7,3
"26885","Jorge Resurrección Merodio","Pass",75,58,1
"26886","Francisco Román Alarcón Suárez","Dribble",82,8,3
"26887","Francisco Román Alarcón Suárez","Pass",74,36,3
"26888","Jorge Resurrección Merodio","Pass",76,55,1
"26889","Jorge Resurrección Merodio","Pass",76,57,1
"26890","Jorge Resurrección Merodio","Pass",72,58,1
"26891","Andrés Iniesta Luján","Pass",76,13,2
"26892","Francisco Román Alarcón Suárez","Pass",93,73,3
"26893","Jorge Resurrección Merodio","Pass",86,59,1
"26894","Sergio Busquets i Burgos","Pass",84,39,1
"26895","Andrés Iniesta Luján","Pass",92,19,2
"26896","Diego da Silva Costa","Pass",100,28,5
"26897","Andrés Iniesta Luján","Pass",88,9,2
"26898","Andrés Iniesta Luján","Pass",59,5,2
"26899","Marco Asensio Willemsen","Pass",78,56,3
"26900","Jorge Resurrección Merodio","Pass",67,54,1
"26901","Denis Cheryshev","Pass",36,47,5
"26902","Fyodor Smolov","Pass",53,48,3
"26903","Aleksandr Golovin","Pass",64,63,2
"26904","Roman Zobnin","Pass",73,79,2
"26905","Francisco Román Alarcón Suárez","Pass",50,21,3
"26906","Andrés Iniesta Luján","Pass",43,3,2
"26907","Jorge Resurrección Merodio","Pass",64,53,1
"26908","Jorge Resurrección Merodio","Pass",70,49,1
"26909","Francisco Román Alarcón Suárez","Pass",80,13,3
"26910","Francisco Román Alarcón Suárez","Pass",94,6,3
"26911","Francisco Román Alarcón Suárez","Pass",103,1,3
"26912","Sergio Busquets i Burgos","Pass",106,18,1
"26913","Jorge Resurrección Merodio","Pass",83,37,1
"26914","Andrés Iniesta Luján","Pass",75,19,2
"26915","Francisco Román Alarcón Suárez","Pass",103,9,3
"26916","Andrés Iniesta Luján","Pass",86,16,2
"26917","Jorge Resurrección Merodio","Pass",80,48,1
"26918","Jorge Resurrección Merodio","Pass",77,51,1
"26919","Francisco Román Alarcón Suárez","Pass",88,19,3
"26920","Andrés Iniesta Luján","Pass",89,5,2
"26921","Francisco Román Alarcón Suárez","Pass",78,26,3
"26922","Jorge Resurrección Merodio","Pass",81,51,1
"26923","Francisco Román Alarcón Suárez","Pass",97,17,3
"26924","Fyodor Smolov","Pass",24,62,3
"26925","Roman Zobnin","Pass",19,71,2
"26926","Fyodor Smolov","Pass",53,65,3
"26927","Aleksandr Golovin","Pass",59,79,2
"26928","Jorge Resurrección Merodio","Pass",63,48,1
"26929","Marco Asensio Willemsen","Pass",74,72,3
"26930","Jorge Resurrección Merodio","Pass",67,55,1
"26931","Francisco Román Alarcón Suárez","Pass",86,6,3
"26932","Francisco Román Alarcón Suárez","Pass",87,12,3
"26933","Francisco Román Alarcón Suárez","Pass",68,14,3
"26934","Jorge Resurrección Merodio","Pass",73,60,1
"26935","Francisco Román Alarcón Suárez","Pass",92,18,3
"26936","Marco Asensio Willemsen","Pass",120,2,3
"26937","Sergio Busquets i Burgos","Shot",109,41,1
"26938","Francisco Román Alarcón Suárez","Pass",81,15,3
"26939","Francisco Román Alarcón Suárez","Pass",88,18,3
"26940","Jorge Resurrección Merodio","Pass",103,66,1
"26941","Andrés Iniesta Luján","Pass",94,6,2
"26942","Jorge Resurrección Merodio","Pass",80,54,1
"26943","Jorge Resurrección Merodio","Pass",70,57,1
"26944","Andrés Iniesta Luján","Pass",92,7,2
"26945","Francisco Román Alarcón Suárez","Pass",98,16,3
"26946","Roman Zobnin","Pass",9,76,2
"26947","Andrés Iniesta Luján","Pass",94,23,2
"26948","Jorge Resurrección Merodio","Pass",76,40,1
"26949","Andrés Iniesta Luján","Pass",92,23,2
"26950","Francisco Román Alarcón Suárez","Pass",99,20,3
"26951","Andrés Iniesta Luján","Shot",99,34,2
"26952","Francisco Román Alarcón Suárez","Pass",75,19,3
"26953","Jorge Resurrección Merodio","Pass",68,57,1
"26954","Francisco Román Alarcón Suárez","Pass",80,10,3
"26955","Denis Cheryshev","Pass",59,27,5
"26956","Fyodor Smolov","Pass",82,41,3
"26957","Sergio Busquets i Burgos","Pass",57,26,1
"26958","Jorge Resurrección Merodio","Pass",54,56,1
"26959","Jorge Resurrección Merodio","Pass",66,55,1
"26960","Andrés Iniesta Luján","Pass",81,32,2
"26961","Sergio Busquets i Burgos","Pass",85,34,1
"26962","Jorge Resurrección Merodio","Pass",82,45,1
"26963","Andrés Iniesta Luján","Pass",83,20,2
"26964","Marco Asensio Willemsen","Pass",94,64,3
"26965","Francisco Román Alarcón Suárez","Pass",99,74,3
"26966","Marco Asensio Willemsen","Pass",94,67,3
"26967","Aleksandr Golovin","Pass",21,29,2
"26968","Marco Asensio Willemsen","Pass",89,67,3
"26969","Francisco Román Alarcón Suárez","Pass",99,66,3
"26970","Jorge Resurrección Merodio","Pass",119,80,1
"26971","Francisco Román Alarcón Suárez","Pass",120,2,3
"26972","Andrés Iniesta Luján","Pass",114,22,2
"26973","Francisco Román Alarcón Suárez","Pass",119,1,3
"26974","Sergio Busquets i Burgos","Pass",34,52,1
"26975","Andrés Iniesta Luján","Pass",55,54,2
"26976","Aleksandr Golovin","Pass",63,47,2
"26977","Roman Zobnin","Pass",91,75,2
"26978","Fyodor Smolov","Pass",96,74,3
"26979","Francisco Román Alarcón Suárez","Pass",22,5,3
"26980","Aleksandr Golovin","Pass",59,67,2
"26981","Fyodor Smolov","Pass",65,67,3
"26982","Roman Zobnin","Pass",78,79,2
"26983","Denis Cheryshev","Pass",116,62,5
"26984","Jorge Resurrección Merodio","Pass",28,5,1
"26985","Sergio Busquets i Burgos","Pass",28,21,1
"26986","Fyodor Smolov","Shot",104,24,3
"26987","Denis Cheryshev","Shot",112,39,5
"26988","Sergio Busquets i Burgos","Pass",67,54,1
"26989","Jorge Resurrección Merodio","Pass",72,56,1
"26990","Francisco Román Alarcón Suárez","Pass",67,34,3
"26991","Francisco Román Alarcón Suárez","Pass",72,52,3
"26992","Jorge Resurrección Merodio","Pass",71,56,1
"26993","Andrés Iniesta Luján","Pass",82,17,2
"26994","Francisco Román Alarcón Suárez","Pass",71,52,3
"26995","Jorge Resurrección Merodio","Pass",92,76,1
"26996","Francisco Román Alarcón Suárez","Dribble",96,60,3
"26997","Francisco Román Alarcón Suárez","Pass",97,59,3
"26998","Jorge Resurrección Merodio","Pass",108,77,1
"26999","Jorge Resurrección Merodio","Pass",49,48,1
"27000","Francisco Román Alarcón Suárez","Pass",61,9,3
"27001","Francisco Román Alarcón Suárez","Pass",67,6,3
"27002","Jorge Resurrección Merodio","Pass",63,72,1
"27003","Francisco Román Alarcón Suárez","Pass",97,8,3
"27004","Francisco Román Alarcón Suárez","Pass",109,5,3
"27005","Andrés Iniesta Luján","Pass",94,4,2
"27006","Marco Asensio Willemsen","Pass",92,78,3
"27007","Jorge Resurrección Merodio","Pass",82,68,1
"27008","Marco Asensio Willemsen","Pass",97,75,3
"27009","Jorge Resurrección Merodio","Pass",87,75,1
"27010","Andrés Iniesta Luján","Pass",87,43,2
"27011","Francisco Román Alarcón Suárez","Dribble",100,20,3
"27012","Aleksandr Golovin","Pass",18,61,2
"27013","Sergio Busquets i Burgos","Pass",87,9,1
"27014","Francisco Román Alarcón Suárez","Pass",82,11,3
"27015","Andrés Iniesta Luján","Pass",82,21,2
"27016","Jorge Resurrección Merodio","Pass",73,34,1
"27017","Andrés Iniesta Luján","Pass",88,21,2
"27018","Francisco Román Alarcón Suárez","Pass",96,15,3
"27019","Andrés Iniesta Luján","Pass",99,21,2
